,Player,Translated,Compounded_polarity,Sentiment
26488,MS Dhoni,"RT @yar_ni: # IPL2018Final
Dhoni: Listen to my eyes !!!! https://t.co/dUFhLhfQPI",0.0,Neutral
26506,MS Dhoni,Best bowling side..final lo ichipadestham .. Dhoni has a look at 10gina for the show and he is ... https://t.co/Q87hSMuiU7,6.369,Positive
26512,MS Dhoni,Champions super kings👌👌👌👌💪💪💪💪 #SRHvsCSK  #IPL2018Final  #msdhoni @ShaneRWatson33  @msdhoni @ImRaina @faf1307 @DJBravo47 @harbhajan_singh,8.074,Positive
26537,MS Dhoni,#IPL2018Final @ShaneRWatson33  old is always gold congrats @msdhoni @ChennaiIPL and see you next year @SunRisers https://t.co/s7wGhLQxke,5.2669999999999995,Positive
26565,MS Dhoni,So @ChennaiIPL  has rose like Pheonix after 2yrs bravo @msdhoni &amp; his boys wot a #IPL2018Final #CSKvSRH… https://t.co/47ZybifQQX,3.612,Positive
26576,MS Dhoni,King King King So proud of you @msdhoni Championssss yasss thank you for the cup love youhhh once again thank you W… https://t.co/kx3YZYdirm,9.116999999999999,Positive
26591,MS Dhoni,"He came back and conquire again..🏆
Really Thala.. #noonecanmatch @msdhoni
Brilliant innings Watto..👏👏… https://t.co/XTsW5D6gmd",5.859,Positive
26592,MS Dhoni,"RT @DhonixFaithful: 5TH TITTLE OVERALL.

IPL Champions in 2010,  2011 and 2018

Champions League Champions in 2010, 2014. 

#CSKIPLCHAMPION…",8.807,Positive
26599,MS Dhoni,"Cannot express how happy I’m seeing DHONI’s CSK Winning his third title,out of words,at the moment.#CSKvSRH #IPL2018 #IPL2018Final",1.032,Positive
26614,MS Dhoni,Dhoni has made everyone so calm .. just look at the interviews .. no monkey jumps . Just gonna sleep after the match #IPL2018Final,2.002,Positive
26623,MS Dhoni,"RT @amitrj87: Trolls :- #CSK is oldest team..

Dhoni :- बेटा जिस स्कूल से तुम पढ़ रहे हो ये उनके प्रोरोफेसरों की टीम है। 😂🤣

Old is gold ma…",0.0,Neutral
26625,MS Dhoni,Dhoni managed to win a tournament of 20-20yo guys with his 40-40yo guys. There is something magical about his leadership. #IPL2018Final,5.859,Positive
26636,MS Dhoni,What a class player @ShaneRWatson33 ! What a class captain @msdhoni ! What a class team @ChennaiIPL ! What a class… https://t.co/cKaCs1CAjY,0.0,Neutral
26654,MS Dhoni,"RT @iSoumyaD: Congrats #CSK🦁 for winning 3rd time IPL, I think Dhoni's last as captain, despite the good season #SRH did not managed to bec…",6.591,Positive
26692,MS Dhoni,Batting nai Milne se @msdhoni ko aaya gussa. Decided to leave India with @RahulGandhi #IPL2018Final #IPL2018,-0.516,Negative
26705,MS Dhoni,RT @AjayKushwaha_: #Dhoni @msdhoni 🇮🇳💪 #CSKvSRH #IPL2018final https://t.co/PZthIYxhgb,0.0,Neutral
26706,MS Dhoni,"Congratulations on the massive #IPL2018Final win, @ChennaiIPL @msdhoni @imjadeja @ImRaina @DJBravo47 #Shanewatsons https://t.co/Dot8vQderX",8.270999999999999,Positive
26707,MS Dhoni,"What will the team do in Dhoni's captaincy, Dhoni will not get anywhere in the world, Dhoni will not get anywhere in the ... https://t.co/1vjwCZhaqd",0.0,Neutral
26732,MS Dhoni,"CSK champion
CSK won the IPL title third time under Dhoni Leadership
#IPL2018Final",8.225,Positive
26745,MS Dhoni,"#IPL2018Final  MSD for You 
@msdhoni  #IPL2018 #IPLFinal #Watson @ChennaiIPL #orangearmy @SunRisers… https://t.co/iYwNX3RvLH",0.0,Neutral
26755,MS Dhoni,RT @aagamgshah: Dhoni managed to win a tournament of 20-20yo guys with his 40-40yo guys. There is something magical about his leadership..!…,6.239,Positive
26757,MS Dhoni,"Finally #Dhoni equals #Rohit's record of 3 #IPL wins.. !! Congrats #CSK 👏✌️
#Thala #Hitman #CSKvSRH #SRHvsCSK #IPL2018 #IPL2018Final",6.103,Positive
26770,MS Dhoni,Fantastic win of @ChennaiIPL really @msdhoni is great captain of world and csk is no 1 no 1 cricket team of planet.… https://t.co/Eoi46kDzK4,8.542,Positive
26794,MS Dhoni,"DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
DHONI
D… https://t.co/rKKRlBD1em",0.0,Neutral
26813,MS Dhoni,"Congratulations @msdhoni 
And well played everyone specially @ShaneRWatson33 .....
#IPL2018Final",8.126,Positive
26836,MS Dhoni,Congratulations captain cool @msdhoni @ChennaiIPL #CSKvSRH #IPL2018Final,7.351,Positive
26859,MS Dhoni,"Seventh T20 tournament win for MS Dhoni....
IPL- 3 
CLT20- 2 
World T20- 1 
Asia Cup T20-1

No other captain has wo… https://t.co/8B3zrTh1TG",3.8179999999999996,Positive
26895,MS Dhoni,"The Kings are Back...

Yoo...

Dhoni Dhoni... 

Yo yo

Dhoni Dhoni 

#IPL2018Final",0.0,Neutral
26898,MS Dhoni,"RT @AdvancedMaushi: As always, never overwhelmed. 
Nerves of steel. #MSDhoni #SRHvCSK 
#IPL2018Final https://t.co/mZ2sFVs8lH",0.382,Positive
26912,MS Dhoni,"And here it goes again.. u just cant beat this cricketing genious ever.. mast of strategies @msdhoni 
Well played… https://t.co/704smVzyLv",2.732,Positive
26918,MS Dhoni,Happy to the core. Yaya...#CSK won the match #SRH won our hearts. #CSKvSRH #IPL2018Final #ThalaDhoni #Dhoni. #CSK c… https://t.co/vcjUxNZ1Gu,9.022,Positive
26932,MS Dhoni,#IPL2018Final how #Dhoni treats his opponents! https://t.co/fO5V6dr02Y,0.0,Neutral
26939,MS Dhoni,Nt a supporter of any team bt of #dhoni and his team won #IPL2018Final,7.003,Positive
26992,MS Dhoni,RT @Shahrcasm: Dhoni Becomes The First And Only Captain To Win A Tournament Having Youngsters In Team (T20 WCup) And A Tournament Having Se…,5.859,Positive
26994,MS Dhoni,Will dhoni announce retirment today? #SRHvsCSK #IPL2018Final #WhistlePodu,0.0,Neutral
27010,MS Dhoni,"RT @coolfunnytshirt: Now that CSK has won the match without Dhoni even needed to bat, they should bowl Dhoni in the nets so that he can hit…",5.718999999999999,Positive
27034,MS Dhoni,@rpsingh @ChennaiIPL @msdhoni Congratulations superb achievement great victory #CSK #IPL2018Final #CSKvSRH Love from #Pakistan,9.538,Positive
27057,MS Dhoni,"Once a Champion, always a champion... #CSK #CSKvSRH #IPL2018Final @msdhoni https://t.co/JV2luKm8ra",5.994000000000001,Positive
27058,MS Dhoni,The champion @ChennaiIPL #IPL2018Final @msdhoni @ShaneRWatson33 @ImRaina #yellovearmy Ku #WhistlePodu,5.994000000000001,Positive
27074,MS Dhoni,"This team made  millions dream real. Kudos to the team @ChennaiIPL . Hatsoff @msdhoni .
Congratulations team #CSK.… https://t.co/sjaxvYz5ok",8.481,Positive
27076,MS Dhoni,"CSK Won The #IPL2018Final 
Dhoni The great Indian captain MSDhoni lifted up the #IPL2018Final A great performance.… https://t.co/Uqnmnk35qG",9.169,Positive
27091,MS Dhoni,"Seventh T20 tournament win for MS Dhoni....
IPL- 3 
CLT20- 2 
World T20- 1 
Asia Cup T20-1

No other captain has wo… https://t.co/Rqn8TubXyq",3.8179999999999996,Positive
27127,MS Dhoni,"#ChennaiSuperKings
They are back &amp; back with a bang.
#IPL2018Final
What a brilliant knock by Watson
#MSDhoni… https://t.co/Jk8xxNE8bS",5.859,Positive
27131,MS Dhoni,"Don't Under Estimate Three Words
""MAHENDRA SINGH DHONI""
- SALMAN KHAN

#CSK
#IPL2018Final",0.0,Neutral
27132,MS Dhoni,"RT @cvsagar91: LEADER He Was ⭐⭐⭐
LEADER He Is ⭐⭐⭐
LEADER He Will Be ⭐⭐⭐ 😍😍
#Dhoni

#WhistlePodu 
#IPL2018Final 
#CSK https://t.co/L6NYQ2oR2d",0.0,Neutral
27154,MS Dhoni,"MS DHONI SURPRISES ME A LOT MAN..HOW CAN SOMEONE BE SO CALM N KEEP HIS NERVES IN CHECK..😍❤
MAHI YOU WON A TROPHY, I… https://t.co/e3fWaRCyPt",8.748000000000001,Positive
27173,MS Dhoni,RT @FunFilled_: Champions has shown that the experience is the most valuable thing. Congratulations @msdhoni &amp; team. #CSK wins. #IPL2018Fin…,9.399,Positive
27205,MS Dhoni,@msdhoni @ChennaiIPL @ShaneRWatson33 congratulations  #IPL2018Final Winners,7.906,Positive
27217,MS Dhoni,What a magnificent innings by @ShaneRWatson33 Congratulations @ChennaiIPL @msdhoni @ImRaina for emerging as champio… https://t.co/SWBecOF7yJ,8.316,Positive
27266,MS Dhoni,"#ChennaiSuperKings reached its final station!!! Men in Yellow do it again with commander #MSDhoni 
#IPL2018Final #CSKvSRH #chennaiwinner",3.129,Positive
27276,MS Dhoni,"RT @zafar_arbab04: Congratulations @CskIPLTeam. Well deserved !
@ShaneRWatson33 What an innings. Sublime and Powerful.
@msdhoni Calm and co…",8.858,Positive
27292,MS Dhoni,"9 Seasons
9 Playoffs
7 Finals
3 Trophies
1 Team - Chennai Super Kings
1 Captain - Mahendra Singh Dhoni

More Power… https://t.co/YM1FddNOkg",5.994000000000001,Positive
27300,MS Dhoni,"Yuhooooo #csk #IPL2018Final #MSDhoni Congo.......well deserved 
#Watson Congo wat a century absolute class ...... https://t.co/HypjxcU5S0",0.0,Neutral
27336,MS Dhoni,RT @pranav2028: And the kingss are backkk... @ChennaiIPL it isss... What a great knock by #ShaneWatson .. and the mastermind @msdhoni behin…,6.2490000000000006,Positive
27339,MS Dhoni,Dhoni fans ki taraf se sorry watson bhai.. match jeetaya apne lekin dhoni fans alag alag logic lagake sara credit d… https://t.co/wb8ZydgBON,3.182,Positive
27355,MS Dhoni,"9 Seasons
9 Playoffs
7 Finals
3 Trophies
1 Team - Chennai Super Kings
1 Captain - Mahendra Singh Dhoni

More Power… https://t.co/XsC5t3vOWE",5.994000000000001,Positive
27357,MS Dhoni,"The only thing that missed from the perfect CSK win in the #IPLFinals was the voice :- 

“ and Dhoni finishes it of… https://t.co/buZJ8jVILx",7.43,Positive
27360,MS Dhoni,Yes! Yes! Yes! Congratulations @ChennaiIPL for winning 3rd @IPL title congratulations to @msdhoni for becoming most… https://t.co/mmNyloAMQn,9.646,Positive
27368,MS Dhoni,@msdhoni what an excellent gesture. Sending the teammates forward to celebrate and standing behind them with a smil… https://t.co/HCCamxkdHR,8.126,Positive
27386,MS Dhoni,@klrahul11 @RishabPant777 said v wud hv optd fr bat aftr winning toss. Dis is wat @msdhoni is! @ShaneRWatson33 class #IPL2018Final #CSKvSRH,5.707,Positive
27388,MS Dhoni,"Dhoni's arrows
Awesome
# IPL2018Final 🏆🏅🎖🎈🎆🍫🍫",6.2490000000000006,Positive
27401,MS Dhoni,#VIVOIPL 2018 CSK Win the match. Congratulations #ChennaiSuperKings @msdhoni @ChennaiIPL @Vivo_India @ImRaina… https://t.co/D0rFf6Q0sy,8.270999999999999,Positive
27403,MS Dhoni,"The legend MS Dhoni will lift 3rd IPL Trophy, this is making me extremely happy
#CSKvsSRH #IPL2018Final",6.115,Positive
27416,MS Dhoni,"#IPL2018Final      #WhistlePoduArmy
#CSK rocks           #ThalaDhoni😎😎💪💪🏆🏆 https://t.co/fk0iCKEteJ",0.0,Neutral
27429,MS Dhoni,RT @deepeshmdk1906: Bas itna sa khwab hai.. Wish 2019 world cup would have been starting in June 2018 instead of June 2019.. #MSDhoni the M…,4.019,Positive
27430,MS Dhoni,"#IPL2018Final
Today #HarshGoenka must be crying in corner 😂😂.
@hvgoenka
@msdhoni
#CSKvSRH #IPL2018",-4.767,Negative
27447,MS Dhoni,Magnificent comeback after 2 years. Well played #WhistlePodu #MSDhoni came and won another title in  #IPL2018Final… https://t.co/y8iq7ZDHrr,9.022,Positive
27454,MS Dhoni,"RT @onlyonenetra: #IPL2018Final csk csk

Well deserved win..

But dhoni khela hi nahi😊

Congrats.. #CSK 
#CSKvSRH",2.732,Positive
27462,MS Dhoni,"Wow Chennai Super kings.. CSK won 🍻

Namma thala @msdhoni ku our whistlepodu.. 💃💃 

 #IPL2018Final #SRHvsCSK… https://t.co/D5IifrXW9U",9.081,Positive
27464,MS Dhoni,#IPL2018Final #thaala 👑💪🔥😎🤘😀😁😇 #csk @msdhoni #watto,0.0,Neutral
27470,MS Dhoni,"WINNING MOMENTS ❤ 

SALMAN SCREAMING IN COMMENTARY BOX . 

#CSK #WhistlePodu #IPL2018Final #CSK #Watson #Dhoni https://t.co/XW9K4VdZ7g",2.023,Positive
27483,MS Dhoni,"It was an amazing Victoryyy !
Wohooooo CSK won 😍
Dhoni is the best ever captain any team could ever have ♥

#CSKvSRH #IPL2018Final",9.184,Positive
27486,MS Dhoni,"#CSKvSRH CSK won the IPL but couldn't see @msdhoni finishing the game .😔😔
#IPL2018Final",3.291,Positive
27507,MS Dhoni,"Congratulations @ChennaiIPL and @msdhoni for yet another IPL trophy. Surely the best T20 team in the world! 
#CSKvSRH #IPL2018Final",9.06,Positive
27509,MS Dhoni,"6 IPL Trophies Combined
MS Dhoni + Rohit Sharma 🔥
#IPL2018Final #IPL2018 https://t.co/hyry77q7PS",0.0,Neutral
27547,MS Dhoni,#IPL2018Final what a century in a big final Shane Watson. Under upgraded version 3.0 @msdhoni what an innings from… https://t.co/dqev4JLJUL,0.0,Neutral
27563,MS Dhoni,Anyone who doubts the incredible captaincy skills of @msdhoni should note that today he is taking… https://t.co/UfpTNak7tL,-2.96,Negative
27566,MS Dhoni,Champions @ChennaiIPL Congratulations @msdhoni #IPL2018Final #CSKSuperFan,8.074,Positive
27579,MS Dhoni,"Dhoni.. Dhoni !!
#CSKvSRH #IPL2018Final",0.0,Neutral
27583,MS Dhoni,"@ChennaiIPL @msdhoni  @SaakshiSRawat  @ImRaina  @harbhajan_singh  @DJBravo47  

#CSK 
#IPL2018Final… https://t.co/EfELKjVPvU",0.0,Neutral
27597,MS Dhoni,"CSK, You Mind Blowing #MSDhoni #Raina #ShaneWatson  #Rayudu 👌👍 #ThirdTimeChampion  #ChennaiSuperKing #IPL2018Final… https://t.co/jPopGyLyjk",0.0,Neutral
27622,MS Dhoni,"# IPL2018Final
Congratulations #Mahi
@msdhoni 👏👏👏
tell me one thing
Which company's pen has written its fate?",5.994000000000001,Positive
27656,MS Dhoni,#IPL2018Final #csk wins and lifts trophy 3rd time.......so happy to see comeback of CSK...#ThalaDhoni ...,8.126,Positive
27665,MS Dhoni,"Should Dhoni and his men go Chennai and do roadshow to give salute all Chalennai supporters?

#WhistlePodu  
Watson… https://t.co/fm6QaR492r",4.404,Positive
27674,MS Dhoni,Congrats #CSK ✌️👍 @msdhoni take a bow!!! https://t.co/Vf3rFoJUIA,6.458,Positive
27678,MS Dhoni,"Dhoni Dhoni Dhoni 
Dhoni Dhoni Dhoni 
Dhoni Dhoni Dhoni 
Dhoni Dhoni Dhoni 
No one can defeat Dhoni 
@msdhoni… https://t.co/ULvh6nULo5",-6.369,Negative
27687,MS Dhoni,"RT @NenuAnteNene: Did you People Notice , 👇👇

#Srh Bowlers made Captain Cool #Dhoni walk in dressing room with Tension in first overs.

#Su…",0.0,Neutral
27688,MS Dhoni,"Any guesses who won #IPL2018Final 

1- who won..?? 
2- Is Chennai /thala playing..?? 
1- yes..!! 
2- #DHONI / #Csk… https://t.co/bsZCj1WhLa",7.3870000000000005,Positive
27698,MS Dhoni,@BeingSalmanKhan &amp; @msdhoni !! #IPL2018Final #IPL2018 #CSK #WhistlePodu @ChennaiIPL https://t.co/4PyxfoVB1G,0.0,Neutral
27712,MS Dhoni,#IPL2018Final Dhoni haters doob maro. Dhoni is the most celebrated player in the world and the best brain in the bu… https://t.co/pd9rMCzdmA,7.178,Positive
27730,MS Dhoni,"#IPL2018Final Kings Of IPL..💪💪 ♥️😍 #ChampionChampion
@msdhoni Congratulations..#CSK  #WhistlePodu",0.0,Neutral
27746,MS Dhoni,"Last time we won I was just a fresher at #Indian #Statistical #Institute 
7 years we waited for this @IPL 
@msdhoni… https://t.co/P4Y3qKqi6N",5.718999999999999,Positive
27761,MS Dhoni,I need 17% LUCK of DHONI to achieve your goal #IPL2018Final,5.766,Positive
27770,MS Dhoni,"# IPL2018Final
After 2014 Dhoni's team won the first title.

P.S: Let's come to someone's good days
# Ipl2018Final
#acchedin",7.65,Positive
27771,MS Dhoni,"""गावात पण फटाके वाजतायेत....👍👌💐 इतके दिवस कुठे होतात रे""😅 

असो.... अभिनंदन👍🙏💐💐💐

@msdhoni 
@ChennaiIPL
 
#IPL2018Final",0.0,Neutral
27781,MS Dhoni,"RT @BeingSkChetan: Don't Under Estimate Three Words
""MAHENDRA SINGH DHONI""
- SALMAN KHAN

#CSK
#IPL2018Final",0.0,Neutral
27784,MS Dhoni,One for dhoni haters #CSKvSRH  #IPL2018Final https://t.co/1gaMXkzg2J,-4.939,Negative
27797,MS Dhoni,"Congrats @msdhoni @imjadeja @ShaneRWatson33 @sambillings @harbhajan_singh 😍😍

#IPL2018Final",5.2669999999999995,Positive
27802,MS Dhoni,when dhoni was asked did he have the right balance of youth &amp; experience  He said I picked the team win.   Congrats… https://t.co/RdPfmLGFgL,5.859,Positive
27803,MS Dhoni,"This Is Called Real Comeback!! Glory To God #CSK #IPL2018Final 

Dhoni Daww 💪💪",7.339,Positive
27818,MS Dhoni,"Once a champion always a champion..👏
#WhistlePodu #ThalaDhoni ❤ #IPL2018Final #SRHvsCSK @ShaneRWatson33 👌 @msdhoni ❤❤",5.994000000000001,Positive
27820,MS Dhoni,"#CSKvsSRH hence it is proved....
@msdhoni best captain #India has ever got
#Congratulations @ChennaiIPL for winning… https://t.co/IGfgXd2tKz",6.369,Positive
27825,MS Dhoni,#CSK has so many #superkings. Just bcoz of you @msdhoni your presence in the team. And @ShaneRWatson33 well played… https://t.co/h8S1Pn5YjA,2.732,Positive
27893,MS Dhoni,Happy for Dhoni 😍😍 #IPL2018Final,5.718999999999999,Positive
27898,MS Dhoni,"#CSK &amp; #Dhoni haters be like 😂
#IPL2018Final #CSKvSRH https://t.co/n6UnEW5RXa",-1.779,Negative
27903,MS Dhoni,"#IPL2018Final
Congratulations my favorite Team 
@msdhoni Ur Smile Thats WE ARE SO Happy 😍😍😘😘🏏🏆🏆🏆🏅🏅",9.34,Positive
27910,MS Dhoni,"RT @SarcAishtic: Dhoni to IPL trophy right now......... 
#IPL2018Final #CSKvSRH #IPL2018 @CSKFansOfficial Watson https://t.co/fSBfTlLelp",0.0,Neutral
27915,MS Dhoni,"Watttttttteeeeettttt Beauty!!! 
100 for Watson.
Congratulations ❤️
Always love for u ❤️
Dhoni power 
Nigidi rocks 😁… https://t.co/7vqDXDz9rj",9.297,Positive
27917,MS Dhoni,@ChennaiIPL @msdhoni  awesome gift for him.#Legends #IPL2018Final,7.906,Positive
27933,MS Dhoni,"Seventh T20 tournament win for MS Dhoni....
IPL- 3 
CLT20- 2 
World T20- 1 
Asia Cup T20-1

No other captain has wo… https://t.co/PfQVsGyPnC",3.8179999999999996,Positive
27940,MS Dhoni,come back again #msdhoni#IPL2018Final,0.0,Neutral
27947,MS Dhoni,RT @imMohit_: Only Dhoni &amp; team win #Dhoni is truly #Captain all over the formet is Always #Captain #Dhoni @msdhoni heads off sir @ChennaiI…,7.7170000000000005,Positive
27948,MS Dhoni,"Paint the town yellow today... Thank you for the lovely moment... Love the team, love @msdhoni Best chasers #CSK #IPL2018Final #CSKvSRH",9.633000000000001,Positive
27961,MS Dhoni,"RT @TripathiAm3: Let's celebrate 
#IPL2018Final 
#CSKvSRH 
#Watson 
#MSDHONI 
Thalapathy Dhoni team ☺☺☺☺🙏🙏🙏🙏🙏 https://t.co/LpAmXqHyzk",5.718999999999999,Positive
27966,MS Dhoni,Dhoni plz lend your LUCK to Leo Messi from 14th June - 15th July 2018😊 #IPL2018Finals #IPL2018Final #CSKvsSRH #IPLfinal2018 #IPLFinal,6.166,Positive
27967,MS Dhoni,Finally...csk is the winner of ipl 2018.our captain cool Ms dhoni prove it again and again...wattto a moment it is.… https://t.co/upnZkTLjAD,7.269,Positive
27992,MS Dhoni,"Congratulations team #CSK for the great win in #IPL2018Final.

Shane Watson is amazing with 121 runs and Dhoni as u… https://t.co/i8NbF3GJxs",9.485,Positive
27993,MS Dhoni,"Do not get unheard of, you have to be unaware
Dhoni's bluff
Trophy in our hands
#HumChampions
# IPL2018Final #CSKVSRH ... https://t.co/kCFjVdqQYN",-2.023,Negative
28002,MS Dhoni,"MS Dhoni silent his haters those who think he should take retirement. Amazing Caption Cool. Salute.😄😄💝💝💝
Master Str… https://t.co/9swi8lT6s3",4.404,Positive
28003,MS Dhoni,Such a special win this is for @ChennaiIPL And MS Dhoni.  @ShaneRWatson33 You played your heart out. Men in yellow… https://t.co/PFkQ1vGElf,8.36,Positive
28016,MS Dhoni,"@manakgupta @ChennaiIPL @msdhoni # IPL2018Final #CSKVSRH Chennai Super Kings make the IPL again King
How much more foreigners ... https://t.co/CLCU0VG0ip",5.994000000000001,Positive
28028,MS Dhoni,Congratulations #CSK U Deserved Win @ShaneRWatson33 Killed Man &amp; https://t.co/N0mmZr24oN Captian @msdhoni Congrats… https://t.co/aPWCvOiyEf,4.939,Positive
28029,MS Dhoni,"Congratulations @ChennaiIPL So happy for my man @msdhoni 
What a comeback season🤩🤩#IPL2018Final",8.357,Positive
28031,MS Dhoni,Finally the IPL Finale win after 7 years. Kudos to you @msdhoni  There is nothing you can't do. #WhistlePodu… https://t.co/FSb1bOWDB9,7.964,Positive
28037,MS Dhoni,"9 Seasons
9 Playoffs
7 Finals
3 Trophies
1 Team - Chennai Super Kings
1 Captain - Mahendra Singh Dhoni

More Power… https://t.co/rTl05M79F9",5.994000000000001,Positive
28057,MS Dhoni,"Should’ve known #CSK, Finals &amp; winning go hand in hand.
MS Dhoni &amp; the #YellowArmy have proved themselves yet again… https://t.co/sHYET6WcOH",8.689,Positive
28072,MS Dhoni,"Captains with most IPL Final wins:

3 - Rohit Sharma (3 finals)
3 - MS DHONI (7 finals)

#IPL2018 #IPL2018Final https://t.co/jBB64pOitZ",6.077,Positive
28087,MS Dhoni,"Hurray!!!! Hats off Dhoni, Watson &amp; all.. Congrats Everyone...
#WhistlePoduExpress #CaptainCool 
#CSKvsSRH… https://t.co/N769612xDr",6.776,Positive
28110,MS Dhoni,#IPL2018Final missed dhoni's winning six....,2.96,Positive
28153,MS Dhoni,"What a come back @ChennaiIPL team in 2018 ipl season and win the @IPL
Troffy

Congratulations @ChennaiIPL @msdhoni… https://t.co/gRFmN77dXS",8.270999999999999,Positive
28161,MS Dhoni,"#IPL2018Final

Wow amazing @msdhoni and @ShaneRWatson33 
this is outstanding performance.
hats off to you both.👌🏻🙏🏻… https://t.co/C4YubnXG0J",9.118,Positive
28184,MS Dhoni,#IPL2018Final Congratulations to #csk @ShaneRWatson33 n @msdhoni.,5.994000000000001,Positive
28186,MS Dhoni,"Best wishes to Chennai Super Kings and captain Mahendra Singh Dhoni for winning in IPL 2018!

# IPL2018Final
#CSKins https://t.co/cltl1ZAn6T",9.245,Positive
28195,MS Dhoni,"Dear @msdhoni ,kindly smile🙏.

You don't even know you n ur team r d reason for thousands of smile today😊

#CSKvSRH 
#IPL2018Final",8.074,Positive
28199,MS Dhoni,#SRHvsCSK #IPL2018Final #MSDhoni S GUYS ITS TIME TO ACCEPT .......SUN RISERS DIDN'T LOOSE BUT CHAMPIONS WON. @msdhoni YOU MADE IT.,6.7989999999999995,Positive
28237,MS Dhoni,"RT @TNYoungsterTeam: 9 Seasons
9 Playoffs
7 Finals
3 Trophies
1 Team - Chennai Super Kings
1 Captain - Mahendra Singh Dhoni

More Power To…",5.994000000000001,Positive
28246,MS Dhoni,#IPL2018Final Congratulations to Team CSK for winning IPL2018. Seeing my colleague Dhoni playing after two years fo… https://t.co/v2xEUtMFSJ,8.442,Positive
28273,MS Dhoni,RT @KavyaWahi: Loved how calm Dhoni was even when CSK's win was sure. #IPL2018Final,9.062,Positive
28311,MS Dhoni,"RT @ImVpatel: Made him captain of Indian football team he can win FIFA world cup for India as well. 💛

#MSDhoni
#IPL2018Final #CSKvSRH #Whi…",7.096,Positive
28312,MS Dhoni,And @msdhoni &amp; team @ChennaiIPL shown middle finger to haters #IPL2018Final #CSKvSRH #Csk #Champions,-4.939,Negative
28314,MS Dhoni,Dhoni you deserve it. #IPL2018Final,0.0,Neutral
28323,MS Dhoni,"Congratulations 🎊 #CSK for winning the IPL Title By Defeating #SRH 
#IPL2018Final
#IPLFinal #CSK #Dhoni #Watson… https://t.co/GRUSnSMwki",6.9079999999999995,Positive
28342,MS Dhoni,"The sad thing is 
We couldn’t watch @msdhoni hitting the winning shot 🤟🏾
#IPL2018Final",0.772,Positive
28345,MS Dhoni,"M.S Dhoni Right Now ❤
#IPL2018Final https://t.co/craoE58fKM",0.0,Neutral
28376,MS Dhoni,Thank you @ChennaiIPL for showing Old is gold. And experience matter's the most. You are the best @msdhoni . And Ma… https://t.co/LQAgTb5ElT,7.7170000000000005,Positive
28384,MS Dhoni,Well done CSK 👍 #CSKvKXIP #WhistlePodu #IPL2018Final ..#MSDhoni.,2.732,Positive
28396,MS Dhoni,"I don't have words for describe what i feel right now.... Congratulations @ChennaiIPL nd @msdhoni ...
Proud to be a… https://t.co/uE29wPNRzL",7.906,Positive
28462,MS Dhoni,What a game congratulations @ChennaiIPL for win what a inning by @ShaneRWatson33 #IPL2018Final @msdhoni,8.270999999999999,Positive
28466,MS Dhoni,"What a knock @ShaneRWatson33 
Many congratulations to @msdhoni &amp; @ChennaiIPL for winning #WorldsToughestFinal 
#IPL2018Final",8.074,Positive
28513,MS Dhoni,"Congrats @ChennaiIPL 
You deserve it... well done team @msdhoni. You were just awesome @ShaneRWatson33. Great patie… https://t.co/LAU518MPxm",9.286999999999999,Positive
28541,MS Dhoni,"RT @_rchi_2504: Great incredible winning 
Thala rocks 🙌🙌🔥🔥🔥🔥👍👍👍

Dhoni Bridget 🙌🙌👌👌🔥🔥🔥
#CSK #CSK #CSK 
@ChennaiIPL @msdhoni @ShaneRWatson33…",8.176,Positive
28558,MS Dhoni,"@virendersehwag @ChennaiIPL Congratulations @ChennaiIPL @msdhoni For IPL TROPHY. And You Rocked man @ShaneRWatson33 
#IPL2018Final #CSKvSRH",5.994000000000001,Positive
28571,MS Dhoni,@ChennaiIPL @msdhoni @MusicThaman 😍😍😍😍😍 #IPL2018Final #CSK https://t.co/JlXWdPlArg,0.0,Neutral
28580,MS Dhoni,"5 players Dhoni, Rainia, Jadeja, Yusuf and Watson played 1st IPL final 11 years back. Even T20 is about experience.… https://t.co/cMkVmloy2p",3.4000000000000004,Positive
28596,MS Dhoni,"#IPL2018Final ab log kehenge ki.. dhoni is so cool, dekho isne winning pe react b nhi kiya.!! abe @msdhoni tumse ch… https://t.co/0UgvJhbFeO",7.891,Positive
28597,MS Dhoni,"Sheer Captaincy ! 

You are just out of this world Dhoni as far as captainship is concerned.

#CSKvSRH

#IPL2018Final",0.0,Neutral
28610,MS Dhoni,"RT @iSahill_: WINNING MOMENTS ❤ 

SALMAN SCREAMING IN COMMENTARY BOX . 

#CSK #WhistlePodu #IPL2018Final #CSK #Watson #Dhoni https://t.co/X…",2.023,Positive
28639,MS Dhoni,'Mahi' Way... ❤️❤️😊😊👏🏻👏🏻 @msdhoni @ChennaiIPL @IPL #IPL2018Final #CSKvsSRH https://t.co/4O1AG6SM1e,0.0,Neutral
28644,MS Dhoni,"Bravo is a champion.

Dhoni is a champion.

Watson is a Champion.

CSK is a Champion.

Champion... Champion... 🙌🙌… https://t.co/dKlZCyL7xW",9.485,Positive
28650,MS Dhoni,"Captain Cool Trophy Please Confess
#CSK @msdhoni
# IPL2018Final",5.574,Positive
